Transect,Plot,Replicate,Date,Time,Observer,Sky,Wind,BirdNumber,Period,Minute,Species,Sex,DetectionMethod,Distance,NewRecord,CounterSing
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,13,2,7,BTBW,M,S,2,1,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,15,3,7,BTNW,M,S,1,0,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,16,3,7,BLBW,M,S,1,0,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,17,3,8,BTBW,M,S,2,0,0
830,352,0,5/21/2015,5:30:00 AM,DJW,1,1,18,3,8,REVI,M,S,2,1,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,1,1,1,REVI,M,S,1,1,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,2,1,1,REVI,M,S,1,1,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,3,1,1,BTNW,M,S,1,1,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,4,1,1,REVI,M,S,1,1,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,5,1,2,REVI,M,S,2,1,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,6,1,2,BTBW,M,S,1,1,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,8,2,3,REVI,M,S,1,0,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,9,2,3,REVI,M,S,1,0,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,10,2,3,OVEN,M,S,1,1,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,11,2,4,BTNW,M,S,1,0,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,12,2,4,REVI,M,S,2,0,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,15,3,6,REVI,M,S,1,0,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,16,3,7,REVI,M,S,1,0,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,18,3,7,OVEN,M,S,2,1,1
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,19,3,7,BTNW,M,S,1,0,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,20,3,8,REVI,M,S,2,0,0
825,339,0,5/21/2015,5:31:00 AM,AJS,2,1,21,3,8,OVEN,M,S,1,0,1
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,1,1,1,REVI,M,S,1,1,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,2,1,1,BTBW,M,S,1,1,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,3,1,1,OVEN,M,S,2,1,1
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,4,1,1,OVEN,M,S,2,1,1
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,5,1,1,BTNW,M,S,2,1,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,6,1,1,BTNW,M,S,2,1,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,8,1,3,BLBW,M,S,1,1,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,10,2,3,REVI,M,S,1,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,11,2,3,OVEN,M,S,1,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,12,2,3,BTBW,M,S,1,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,13,2,3,BLBW,M,S,1,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,14,2,3,BTNW,M,S,2,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,16,2,4,BLBW,M,S,1,1,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,17,3,6,BTBW,M,S,1,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,18,3,6,BLBW,M,S,1,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,19,3,6,REVI,M,S,1,0,1
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,20,3,6,OVEN,M,S,2,0,0
825,395,0,5/21/2015,7:07:00 AM,CH,1,0,21,3,6,REVI,M,S,2,0,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,1,1,1,BTNW,M,S,1,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,2,1,1,BTNW,M,S,1,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,3,1,1,BTBW,M,S,2,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,4,1,1,REVI,M,S,2,1,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,6,1,1,BLBW,M,S,2,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,7,1,1,BLBW,M,S,1,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,8,1,1,OVEN,M,S,2,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,11,2,3,BLBW,M,S,1,0,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,12,2,3,BTNW,M,S,1,0,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,14,2,3,BTNW,M,S,1,0,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,15,2,4,OVEN,M,S,1,1,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,16,2,5,REVI,M,S,2,0,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,17,2,5,REVI,M,S,2,1,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,18,3,6,REVI,M,S,2,0,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,19,3,6,REVI,M,S,2,0,1
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,20,3,6,BTNW,M,S,1,0,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,21,3,6,BTNW,M,S,2,0,0
820,391,0,5/21/2015,7:56:00 AM,CH,1,0,22,3,7,BTBW,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,2,1,1,REVI,M,S,2,1,1
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,3,1,1,OVEN,M,S,2,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,4,1,1,REVI,M,S,1,1,1
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,5,1,1,BTNW,M,S,2,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,6,1,1,BTBW,M,S,1,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,8,1,2,OVEN,M,S,1,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,9,2,3,OVEN,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,10,2,3,REVI,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,11,2,3,BTNW,M,S,2,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,12,2,3,BLBW,M,S,1,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,13,2,3,OVEN,M,S,2,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,14,2,3,OVEN,M,S,2,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,17,2,5,BTBW,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,18,2,6,BTNW,M,S,2,1,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,19,3,6,BTNW,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,20,3,6,REVI,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,21,3,6,REVI,M,S,2,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,22,3,6,OVEN,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,23,3,7,BTBW,M,S,1,0,0
820,390,0,5/21/2015,8:14:00 AM,CH,0,0,24,3,7,BTNW,M,S,1,0,0
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,2,1,1,REVI,M,S,1,1,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,3,1,1,BTNW,M,S,1,1,0
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,6,1,2,BTBW,M,S,1,1,0
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,7,1,2,REVI,M,S,1,1,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,9,2,3,REVI,M,S,1,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,10,2,3,REVI,M,S,1,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,11,2,4,OVEN,M,S,1,1,0
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,12,2,4,REVI,M,S,1,1,0
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,13,2,4,BTBW,M,S,1,1,0
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,16,3,6,BTBW,M,S,1,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,17,3,6,BTBW,M,S,1,1,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,18,3,7,REVI,M,S,1,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,19,3,7,REVI,M,S,1,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,20,3,7,REVI,M,S,1,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,21,3,8,BTNW,M,S,2,0,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,22,3,9,REVI,M,S,2,1,1
825,340,0,5/21/2015,5:52:00 AM,AJS,2,1,23,3,9,OVEN,M,S,1,0,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,1,1,1,BLBW,M,S,1,1,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,2,1,1,BTBW,M,S,1,1,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,3,1,3,OVEN,M,S,2,1,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,4,2,4,BTBW,M,S,1,0,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,6,2,6,BLBW,M,S,2,0,1
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,7,2,6,BLBW,M,S,2,1,1
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,8,2,6,OVEN,M,S,2,0,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,9,3,7,BTBW,M,S,1,0,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,10,3,7,OVEN,M,S,2,0,0
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,11,3,7,BLBW,M,S,1,0,1
830,351,0,5/21/2015,5:45:00 AM,DJW,2,1,12,3,7,BLBW,M,S,2,0,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,1,1,1,OVEN,M,V,1,1,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,2,1,1,OVEN,F,V,1,1,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,3,1,1,OVEN,M,S,1,1,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,4,1,1,REVI,M,S,1,1,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,5,1,1,BTNW,M,S,1,1,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,7,1,1,OVEN,M,S,2,1,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,11,2,3,OVEN,F,V,1,0,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,12,2,3,OVEN,M,V,1,0,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,14,2,3,OVEN,M,S,1,0,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,15,2,3,REVI,M,S,1,0,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,17,2,3,BTNW,M,S,1,0,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,18,2,4,REVI,M,S,2,1,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,19,3,6,BTNW,M,S,1,0,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,20,3,6,REVI,M,S,1,0,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,23,3,7,REVI,M,S,2,0,1
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,24,3,7,OVEN,M,S,1,0,0
820,389,0,5/21/2015,8:31:00 AM,CH,0,0,25,3,7,BTNW,M,S,2,1,1
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,1,1,1,REVI,M,S,1,1,0
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,2,1,1,BLBW,M,S,1,1,0
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,3,1,1,OVEN,M,S,2,1,0
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,6,2,4,REVI,M,S,1,0,0
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,8,2,4,BLBW,M,S,1,0,0
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,9,3,7,REVI,M,S,1,0,0
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,10,3,7,BLBW,M,S,1,0,1
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,11,3,8,BLBW,M,S,2,1,1
830,350,0,5/21/2015,6:05:00 AM,DJW,2,1,13,3,9,BTBW,M,S,2,1,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,1,1,1,OVEN,M,S,1,1,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,2,1,1,BTBW,M,S,1,1,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,3,1,1,BTBW,M,S,1,1,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,7,1,1,BTNW,M,S,1,1,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,8,1,2,REVI,M,S,1,1,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,9,1,2,REVI,M,S,2,1,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,11,2,3,REVI,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,14,2,4,BTBW,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,15,2,4,BTNW,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,16,2,4,BTNW,M,S,1,1,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,17,2,5,BTBW,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,18,2,5,OVEN,M,S,1,1,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,19,2,5,REVI,M,S,1,1,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,20,2,5,REVI,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,22,3,6,REVI,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,23,3,6,REVI,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,24,3,7,OVEN,M,S,1,0,0
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,25,3,7,BTNW,M,S,1,0,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,26,3,7,BTBW,M,S,1,0,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,27,3,8,BTNW,M,S,1,0,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,28,3,8,BTBW,M,S,2,0,1
825,341,0,5/21/2015,6:12:00 AM,AJS,1,1,29,3,8,REVI,M,S,2,1,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,1,1,1,BTBW,M,S,1,1,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,3,1,1,REVI,M,S,2,1,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,4,1,1,BLBW,M,S,1,1,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,5,1,1,OVEN,M,S,1,1,1
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,6,1,1,OVEN,M,S,2,1,1
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,8,1,1,OVEN,M,S,2,1,1
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,10,2,3,OVEN,M,S,1,0,1
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,12,2,3,OVEN,M,S,2,0,1
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,13,2,3,BTBW,M,S,1,0,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,14,2,3,BLBW,M,S,1,0,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,15,3,6,OVEN,M,S,1,0,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,16,3,6,OVEN,M,S,2,0,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,18,3,6,OVEN,M,S,2,0,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,19,3,7,BTBW,M,S,1,0,0
820,388,0,5/21/2015,8:50:00 AM,CH,0,0,20,3,7,BLBW,M,S,1,0,0
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,1,1,1,REVI,M,S,1,1,0
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,2,1,3,OVEN,U,V,1,1,0
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,3,1,3,OVEN,U,V,1,1,0
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,4,1,4,OVEN,M,S,2,1,0
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,5,2,4,REVI,M,S,1,0,1
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,6,2,5,OVEN,M,S,2,0,1
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,7,2,6,REVI,M,S,2,1,1
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,8,2,7,OVEN,M,S,1,1,1
830,349,0,5/21/2015,6:26:00 AM,DJW,2,1,9,3,7,REVI,M,S,2,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,1,1,1,REVI,M,S,1,1,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,2,1,1,OVEN,M,S,2,1,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,3,1,1,BTBW,M,S,1,1,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,4,1,1,BTNW,M,S,2,1,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,5,1,1,REVI,M,S,2,1,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,6,1,1,OVEN,M,S,2,1,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,8,1,2,BLBW,M,S,2,1,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,11,2,4,REVI,M,S,1,0,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,12,2,4,BTNW,M,S,2,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,13,2,4,OVEN,M,S,2,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,14,2,4,REVI,M,S,2,0,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,15,2,4,BTBW,M,S,1,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,16,2,6,REVI,M,S,2,1,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,17,2,6,OVEN,M,S,1,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,19,3,7,REVI,M,S,1,0,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,20,3,7,OVEN,M,S,2,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,21,3,7,REVI,M,S,2,0,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,22,3,8,OVEN,M,S,2,0,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,23,3,8,BTBW,M,S,2,0,0
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,24,3,8,OVEN,M,S,2,1,1
830,348,0,5/21/2015,6:47:00 AM,DJW,2,1,26,3,9,BLBW,M,S,1,0,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,3,1,1,OVEN,M,S,1,1,1
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,4,1,1,REVI,M,S,2,1,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,5,1,1,BTBW,M,S,1,1,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,6,1,1,OVEN,M,S,2,1,1
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,9,2,3,OVEN,M,S,1,0,1
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,11,2,3,OVEN,M,S,2,0,1
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,12,2,3,BTBW,M,S,1,0,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,15,2,4,REVI,M,S,2,0,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,16,2,4,BTBW,M,S,2,1,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,17,2,6,BTNW,M,S,2,1,0
820,387,0,5/21/2015,9:08:00 AM,CH,0,0,18,3,6,BTNW,M,S,2,0,0
