This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"KAQO","LLANO MUNICI",-98.6619,30.7836,336,"ASOS","KAQO"
"KAQP","APPLETON MUN",-96.0042,45.2275,310,"ASOS","KAQP"
"KAQR","ATOKA MUNI A",-96.1481,34.3983,180,"ASOS","KAQR"
"KAQV","PEASON RIDG/",-93.4500,31.6667,111,"ASOS","KAQV"
"KAQW","NORTH ADAMS",-73.1703,42.6972,199,"ASOS","KAQW"
"KARA","NEW IBERIA/A",-91.8844,30.0289,7,"ASOS","KARA"
"KARB","ANN ARBOR MU",-83.7400,42.2239,255,"ASOS","KARB"
"KARG","WALNUT RIDGE",-90.9200,36.1300,83,"ASOS","KARG"
"KARM","WHARTON REGI",-96.1544,29.2542,30,"ASOS","KARM"
"KARR","AURORA MUNIC",-88.4814,41.7700,215,"ASOS","KARR"
"KART","WATERTOWN IN",-76.0217,43.9919,99,"ASOS","KART"
"KARV","MINOCQUA/WOO",-89.7300,45.9300,496,"ASOS","KARV"
"KARW","BEAUFORT COU",-80.6344,32.4122,3,"ASOS","KARW"
"KASD","SLIDELL",-89.8208,30.3450,9,"ASOS","KASD"
"KASE","ASPEN/SARDY",-106.8694,39.2289,2382,"ASOS","KASE"
"KASH","NASHUA/BOIRE",-71.5200,42.7800,61,"ASOS","KASH"
"KASJ","AHOSKIE/TRI-",-77.1708,36.2975,21,"ASOS","KASJ"
"KAST","ASTORIA/CLAT",-123.8825,46.1569,3,"ASOS","KAST"
"KASW","WARSAW MUNIC",-85.8400,41.2747,259,"ASOS","KASW"
"KASX","ASHLAND/KENN",-90.9183,46.5497,251,"ASOS","KASX"
"KATL","ATLANTA INTL",-84.4422,33.6297,312,"ASOS","KATL"
"KATS","ARTESIA",-104.4675,32.8525,1079,"ASOS","KATS"
"KATT","AUSTIN CITY",-97.7000,30.3000,189,"ASOS","KATT"
"KATW","APPLETON/OUT",-88.5200,44.2500,280,"ASOS","KATW"
"KATY","WATERTOWN MU",-97.1494,44.9047,532,"ASOS","KATY"
"KAUG","AUGUSTA STAT",-69.7972,44.3206,107,"ASOS","KAUG"
"KAUH","AURORA",-97.9944,40.8939,550,"ASOS","KAUH"
"KAUM","AUSTIN MUNI",-92.9300,43.6700,375,"ASOS","KAUM"
"KAUN","AUBURN, AUBU",-121.0667,38.9500,467,"ASOS","KAUN"
"KAUO","AUBURN-OPELI",-85.4300,32.6200,236,"ASOS","KAUO"
"KAUS","AUSTIN-BERGS",-97.6700,30.1944,165,"ASOS","KAUS"
"KAUW","WAUSAU MUNIC",-89.6267,44.9286,366,"ASOS","KAUW"
"KAVC","SOUTH HILL/M",-78.0542,36.6886,135,"ASOS","KAVC"
"KAVK","ALVA RGNL AI",-98.6700,36.7731,449,"ASOS","KAVK"
"KAVL","ASHEVILLE MU",-82.5375,35.4319,660,"ASOS","KAVL"
"KAVP","WILKES-BARRE",-75.7267,41.3389,293,"ASOS","KAVP"
"KAVX","AVALON/CATAL",-118.4158,33.4050,488,"ASOS","KAVX"
"KAWM","WEST MEMPHIS",-90.2333,35.1333,65,"ASOS","KAWM"
"KAWO","ARLINGTON MU",-122.1700,48.1700,42,"ASOS","KAWO"
"KAXA","ALGONA",-94.2700,43.0800,372,"ASOS","KAXA"
"KAXH","HOUSTON SOUT",-95.4769,29.5061,21,"ASOS","KAXH"
"KAXN","ALEXANDRIA/C",-95.3942,45.8686,434,"ASOS","KAXN"
"KAXS","ALTUS/QUARTZ",-99.3381,34.6989,437,"ASOS","KAXS"
"KAYS","WAYCROSS/WAR",-82.4000,31.2500,46,"ASOS","KAYS"
"KAZO","KALAMAZOO IN",-85.5464,42.2292,266,"ASOS","KAZO"
"KBAB","BEALE AFB/MA",-121.4300,39.1300,34,"ASOS","KBAB"
"KBAC","BARNES COUNT",-98.0181,46.9411,427,"ASOS","KBAC"
"KBAD","BARKSDALE AF",-93.6700,32.5000,51,"ASOS","KBAD"
"KBAF","WESTFIELD/BA",-72.7128,42.1597,82,"ASOS","KBAF"
"KBAX","BAD AXE",-82.9856,43.7808,233,"ASOS","KBAX"
"KBAZ","NEW BRAUNFEL",-98.0453,29.7086,197,"ASOS","KBAZ"
"KBBB","BENSON MUNI",-95.6500,45.3200,317,"ASOS","KBBB"
"KBBD","CURTIS FIELD",-99.3239,31.1792,557,"ASOS","KBBD"
"KBBG","BRANSON AIRP",-93.2006,36.5319,397,"ASOS","KBBG"
"KBBP","MARLBORO COU",-79.7344,34.6217,45,"ASOS","KBBP"
"KBBW","BROKEN BOW M",-99.6500,41.4300,776,"ASOS","KBBW"
"KBCB","VIRGINIA TEC",-80.4200,37.2200,650,"ASOS","KBCB"
"KBCE","BRYCE CANYON",-112.1456,37.7064,2312,"ASOS","KBCE"
"KBCK","BLACK RIVER",-90.8553,44.2508,255,"ASOS","KBCK"
"KBDE","BAUDETTE INT",-94.6122,48.7267,330,"ASOS","KBDE"
"KBDH","WILLMAR MUNI",-95.1306,45.1178,247,"ASOS","KBDH"
"KBDL","HARTFORD/BRA",-72.6825,41.9381,53,"ASOS","KBDL"
"KBDN","BEND MUNICIP",-121.2003,44.0944,1055,"ASOS","KBDN"
"KBDR","BRIDGEPORT/S",-73.1289,41.1583,3,"ASOS","KBDR"
"KBDU","BOULDER MUNI",-105.2258,40.0394,1612,"ASOS","KBDU"
"KBEA","BEEVILLE MUN",-97.7911,28.3619,82,"ASOS","KBEA"
"KBED","HANSCOM FLD/",-71.2944,42.4683,40,"ASOS","KBED"
"KBEH","BENTON HARBO",-86.4283,42.1286,196,"ASOS","KBEH"
"KBFD","BRADFORD REG",-78.6358,41.7986,653,"ASOS","KBFD"
"KBFF","SCOTTSBLUFF/",-103.5858,41.8669,1208,"ASOS","KBFF"
"KBFI","SEATTLE/BOEI",-122.3136,47.5458,5,"ASOS","KBFI"
"KBFL","BAKERSFIELD/",-119.0567,35.4336,155,"ASOS","KBFL"
"KBFM","MOBILE DOWNT",-88.0633,30.6139,7,"ASOS","KBFM"
"KBFW","SILVER BAY",-91.4000,47.2000,331,"ASOS","KBFW"
"KBGD","BORGER/HUTCH",-101.3950,35.6950,931,"ASOS","KBGD"
"KBGE","BAINBRIDGE/D",-84.6400,30.9700,43,"ASOS","KBGE"
"KBGF","WINCHESTER M",-86.0661,35.1775,298,"ASOS","KBGF"
"KBGM","BINGHAMTON/B",-75.9814,42.2078,496,"ASOS","KBGM"
"KBGR","BANGOR INTL",-68.8186,44.7972,58,"ASOS","KBGR"
"KBHB","BAR HARBOR (",-68.3700,44.4500,26,"ASOS","KBHB"
"KBHK","BAKER",-104.2575,46.3478,905,"ASOS","KBHK"
"KBHM","BIRMINGHAM M",-86.7450,33.5656,196,"ASOS","KBHM"
"KBID","BLOCK ISLAND",-71.5800,41.1700,33,"ASOS","KBID"
"KBIE","BEATRICE MUN",-96.7500,40.3000,403,"ASOS","KBIE"
"KBIF","BIGGS ARMY A",-106.3800,31.8494,1203,"ASOS","KBIF"
"KBIH","BISHOP AIRPO",-118.3581,37.3711,1256,"ASOS","KBIH"
"KBIJ","EARLY COUNTY",-84.8953,31.3969,65,"ASOS","KBIJ"
"KBIL","BILLINGS/LOG",-108.5422,45.8069,1112,"ASOS","KBIL"
"KBIS","BISMARCK MUN",-100.7572,46.7825,511,"ASOS","KBIS"
"KBIV","TULIP CITY A",-86.0967,42.7461,209,"ASOS","KBIV"
"KBIX","KEESLER AFB/",-88.9200,30.4200,10,"ASOS","KBIX"
"KBJC","BROOMFIELD/J",-105.1200,39.9200,1724,"ASOS","KBJC"
"KBJI","BEMIDJI MUNI",-94.9300,47.5000,420,"ASOS","KBJI"
"KBJJ","WOOSTER/WAYN",-81.8867,40.8731,346,"ASOS","KBJJ"
"KBKB","FULLERTON/PO",-92.9667,31.0000,94,"ASOS","KBKB"
"KBKD","STEPHENS COU",-98.8911,32.7192,391,"ASOS","KBKD"
"KBKE","BAKER MUNICI",-117.8092,44.8372,1028,"ASOS","KBKE"
"KBKF","BUCKLEY ANGB",-104.7581,39.7100,1726,"ASOS","KBKF"
"KBKL","CLEVELAND/BU",-81.6689,41.5256,178,"ASOS","KBKL"
"KBKN","BLACKWELL-TO",-97.3497,36.7450,314,"ASOS","KBKN"
"KBKS","FALFURRIAS,",-98.1211,27.2067,34,"ASOS","KBKS"
"KBKT","ALLEN C PERK",-77.9566,37.0748,133,"ASOS","KBKT"
"KBKV","BROOKSVILLE",-82.4544,28.4736,23,"ASOS","KBKV"
"KBKW","BECKLEY MEMO",-81.1247,37.7950,763,"ASOS","KBKW"
"KBKX","BROOKINGS (A",-96.8200,44.3000,502,"ASOS","KBKX"
"KBLF","BLUEFIELD/ME",-81.2078,37.2958,871,"ASOS","KBLF"
"KBLH","BLYTHE AIRPO",-114.7169,33.6192,121,"ASOS","KBLH"
"KBLI","BELLINGHAM I",-122.5392,48.7994,48,"ASOS","KBLI"
"KBLM","BELMAR-FARMD",-74.1300,40.1800,48,"ASOS","KBLM"
"KBLU","BLUE CANYON",-120.7081,39.2761,1610,"ASOS","KBLU"
"KBLV","SCOTT AFB/BE",-89.8500,38.5500,138,"ASOS","KBLV"
"KBMG","BLOOMINGTON/",-86.6167,39.1431,257,"ASOS","KBMG"
"KBMI","BLOOMINGTON/",-88.9200,40.4800,267,"ASOS","KBMI"
"KBML","BERLIN MUNIC",-71.1786,44.5761,353,"ASOS","KBML"
"KBMQ","BURNET MUNIC",-98.2353,30.7406,392,"ASOS","KBMQ"
"KBNA","NASHVILLE ME",-86.6892,36.1189,182,"ASOS","KBNA"
"KBNL","BARNWELL REG",-81.3883,33.2578,75,"ASOS","KBNL"
"KBNO","BURNS MUNI (",-118.9564,43.5950,1263,"ASOS","KBNO"
"KBNW","BOONE MUNI",-93.8500,42.0500,354,"ASOS","KBNW"
"KBOI","BOISE MUNICI",-116.2406,43.5667,871,"ASOS","KBOI"
"KBOK","BROOKINGS AI",-124.2900,42.0744,140,"ASOS","KBOK"
"KBOS","BOSTON/LOGAN",-71.0106,42.3606,6,"ASOS","KBOS"
"KBPC","MESA VISTA R",-101.0303,35.8892,845,"ASOS","KBPC"
"KBPG","BIG SPRING,",-101.5167,32.2000,784,"ASOS","KBPG"
"KBPI","BIG PINEY (A",-110.1031,42.5789,2126,"ASOS","KBPI"
"KBPK","MOUNTAIN HOM",-92.4719,36.3706,282,"ASOS","KBPK"
"KBPT","BEAUMONT/POR",-94.0208,29.9508,5,"ASOS","KBPT"
"KBQK","BRUNSWICK/GL",-81.4700,31.2500,8,"ASOS","KBQK"
"KBRD","BRAINERD/WIE",-94.1308,46.4047,373,"ASOS","KBRD"
"KBRL","BURLINGTON M",-91.1253,40.7728,212,"ASOS","KBRL"
"KBRO","BROWNSVILLE",-97.4231,25.9142,7,"ASOS","KBRO"
"KBTA","BLAIR MUNICI",-96.1136,41.4181,404,"ASOS","KBTA"
